family_id,n,activation_mae,auditor_mae,text_mae,structured_mae,delta
scale10_actions4,5,0.2769982486963272,0.6,0.3522807924712928,0.42038216286194163,0.3230017513036728
scale10_actions5,5,0.19488581717014314,0.1,0.2459431993123467,0.2749092483187311,-0.09488581717014313
scale10_actions6,5,0.05331882536411285,0.4,0.1540718976812973,0.1318782735527378,0.34668117463588716
scale10_actions7,5,0.20152947703997298,0.4666666666666667,0.17354910744469973,0.0716837606837607,0.26513718962669375
scale1_actions4,5,0.22047435194253923,0.8,0.31754556185481014,0.3214970047513151,0.5795256480574608
scale1_actions5,5,0.2021009474992752,0.3,0.10944331147855921,0.1206728362551486,0.0978990525007248
scale1_actions6,5,0.09420183926820755,0.12000000000000002,0.0871848119639301,0.10139638377456617,0.025798160731792454
scale1_actions7,5,0.06269250512123108,0.2,0.08300561012496752,0.0718587164750958,0.13730749487876892
scale2_actions4,5,0.3332176208496094,0.7333333333333334,0.3909360397147258,0.42038216286194163,0.400115712483724
scale2_actions5,5,0.1723920777440071,0.4,0.17533158004683363,0.1511307553244102,0.22760792225599288
scale2_actions6,5,0.06798131614923478,0.36,0.15027142665425375,0.11595545977011493,0.2920186838507652
scale2_actions7,5,0.13267428477605184,0.3666666666666667,0.10641696710148026,0.14756530766051984,0.23399238189061483
scale3_actions4,5,0.44484623670578005,0.8,0.2052550298290765,0.24980769230769231,0.35515376329422
scale3_actions5,5,0.10228689312934876,0.35,0.05763978048464955,0.09097964057015781,0.24771310687065123
scale3_actions6,5,0.15505642890930177,0.27999999999999997,0.08245778278688687,0.10913860091658352,0.12494357109069824
scale3_actions7,5,0.028951913118362427,0.5,0.08896688729268536,0.05432275562879011,0.4710480868816376
scale5_actions4,5,0.023140840232372284,0.6,0.306675411404164,0.40457264957264955,0.5768591597676277
scale5_actions5,5,0.15195084512233734,0.4,0.19656819976843978,0.16779645593869733,0.24804915487766266
scale5_actions6,5,0.04302044212818146,0.24000000000000005,0.15617737130374404,0.11595545977011493,0.19697955787181856
scale5_actions7,5,0.1974775145451228,0.7666666666666667,0.1621053670325087,0.0716837606837607,0.5691891521215439
