game_index,delta_vs_text,delta_vs_linear
0,-0.1759915000383121,0.050201035716613565
1,-0.563458005456048,-0.562338277406242
2,-0.24564509907620868,-0.08718904587849888
3,0.12885975901112814,0.14594046003966082
4,-0.7617221650996592,-0.23504969672126758
5,-0.11354656020545492,-0.35517198028503605
6,0.050420585351511366,-0.30077814692419325
7,-0.26400202724241734,-0.16581563345846873
8,-0.3755670319539311,-0.06855180121289944
9,0.15957648881175646,-0.004561656886038523
10,-0.025254835161416855,0.09914555184362533
11,-0.541894690595804,-0.6276745268204629
12,-0.13578340129122585,0.08436646252755368
13,-0.5744737309869429,-0.7726081221045307
14,-0.1303071048859816,-0.2959338574082996
15,-0.1610184252011947,-0.0038305665227994293
16,-0.17654494765604864,0.04343459959106982
17,-0.24327244447298757,-0.03096475873113747
18,0.1504650560385214,0.335658521936832
19,-0.40588863387253815,0.10256770022348471
20,-0.1315792858221771,-0.07416876389296492
21,-0.19980886286784705,0.07434733293253
22,-0.45842437202321734,0.15106569407091713
23,0.14611144612339794,0.19208031520392094
24,0.14495203062865333,-0.023485780359899244
25,0.10980628408412367,-0.0019226224393328402
26,-0.2375053755080317,-0.4383829466982772
27,0.17530125735551294,0.004521826206553602
28,0.13288215864763464,0.3817347507131662
29,-0.6658812827549806,-0.037170641661968096
30,-0.3037165496234205,-0.02135031176364735
31,0.09168490233103668,0.008101743843896302
32,-0.2892746222497997,-0.043009561227635426
33,-0.605903159845284,-0.9070894412392662
34,-0.037008129825479935,0.20740449661070914
35,-0.12419400277669401,0.13471370930746823
36,-0.4805845681051847,-0.3175299068806034
37,-0.3227237334250708,-0.4237772524745905
38,-0.2150168104277877,-0.08043602065347605
39,0.21710406411456756,-0.11193216863291028
