heldout_trajectory,inner_validation_mae,selected_layer,selected_alpha,activation_mae,auditor_mae,delta_auditor_minus_activation
trajectory_000,13.685825685783813,10,100.0,21.39404444307191,12.833333333333334,-8.560711109738575
trajectory_001,17.905881920191476,19,1000.0,13.858556617248523,8.166666666666666,-5.6918899505818565
trajectory_002,15.589295041674475,9,1000.0,15.357781765569854,7.666666666666667,-7.691115098903187
trajectory_003,15.118803549489805,18,100.0,18.790443149883693,8.333333333333334,-10.457109816550359
trajectory_004,12.557754352626608,6,0.001,28.01661896202079,15.0,-13.01661896202079
