game_index,states,delta_latent,delta_auditor,delta_trained_text
0,2,-0.22619253575492554,0.1520897435739352,-0.22619253575492554
1,2,-0.0011197280498059237,0.3795271624807427,-0.0011197280498059237
2,2,-0.1584560531977098,-0.35796156587310435,-0.1584560531977098
3,2,-0.01708070102853268,0.2853889824423066,-0.01708070102853268
4,2,-0.5266724683783915,-0.6767724271087128,-0.5266724683783915
5,2,0.24162542007958115,0.4213197012087735,0.24162542007958115
6,2,0.35119873227570464,0.6290942841639836,0.35119873227570464
7,2,-0.09818639378394863,0.14548517479890472,-0.09818639378394863
8,2,-0.30701523074103154,-0.4832310901121523,-0.30701523074103154
9,2,0.16413814569779497,0.008858537344694656,0.16413814569779497
10,2,-0.12440038700504219,-0.11827666777833036,-0.12440038700504219
11,1,0.08577983622465896,0.002173887508399641,0.08577983622465896
12,2,-0.2201498638187795,-0.10488130722692462,-0.2201498638187795
13,2,0.19813439111758768,0.5821212368879776,0.19813439111758768
14,2,0.165626752522318,0.23918289580828983,0.165626752522318
15,2,-0.15718785867839524,-0.13411688090458004,-0.15718785867839524
16,2,-0.21997954724711843,-0.1148580506712093,-0.21997954724711843
17,2,-0.2123076857418501,-0.2079462928492189,-0.2123076857418501
18,1,-0.1851934658983106,-0.3153374612564871,-0.1851934658983106
19,2,-0.5084563340960228,-0.12323330263317439,-0.5084563340960228
20,2,-0.05741052192921217,-0.2842997123915577,-0.05741052192921217
21,2,-0.27415619580037703,-0.34806556044832554,-0.27415619580037703
22,2,-0.6094900660941344,-0.5074972220498175,-0.6094900660941344
23,2,-0.04596886908052303,-0.10907757515775324,-0.04596886908052303
24,2,0.16843781098855257,0.4895070859205212,0.16843781098855257
25,1,0.11172890652345652,0.022010526235826892,0.11172890652345652
26,2,0.20087757119024552,0.24212355284633968,0.20087757119024552
27,2,0.17077943114895933,0.017946466580626583,0.17077943114895933
28,2,-0.24885259206553145,-0.2828469521253943,-0.24885259206553145
29,2,-0.6287106410930126,-0.7627412899458088,-0.6287106410930126
30,2,-0.2823662378597731,-0.42999002262379343,-0.2823662378597731
31,2,0.08358315848714037,0.046538605128392516,0.08358315848714037
32,2,-0.24626506102216433,-0.4872590395672485,-0.24626506102216433
33,1,0.3011862813939822,0.6600920235050477,0.3011862813939822
34,2,-0.24441262643618908,-0.13015967908828294,-0.24441262643618908
35,2,-0.25890771208416213,-0.10390279611450676,-0.25890771208416213
36,2,-0.1630546612245813,-0.23444413177020818,-0.1630546612245813
37,2,0.1010535190495197,0.4835902591209494,0.1010535190495197
38,2,-0.13458078977431154,-0.31005814449006,-0.13458078977431154
39,2,0.32903623274747784,0.07659099691297908,0.32903623274747784
