game_index,private_information_advantage,matched_information_advantage,observer_exposure_gain,activation_timing_gain
0,-0.48728426636340166,-0.5202874111611665,0.03300314479776481,-0.528743199764077
1,0.09503494177437026,0.06231504119250172,0.03271990058186855,0.534143612380344
2,0.5981955512090987,0.0899999894365016,0.5081955617725972,0.009741859555802826
3,0.0659194437821111,0.018640565825766845,0.047278877956344265,-0.0012372269667151404
4,-0.5644519436475279,-0.5644519436475279,0.0,-0.5428973818517345
5,-0.5689314081362116,-0.5840827772018676,0.015151369065656117,0.2727278929197805
6,0.4671043477759771,0.009999998812824209,0.4571043489631529,0.0005503051798631131
7,-0.11456453714198035,-0.16026673658396387,0.04570219944198352,-0.15119436740683354
8,0.06621172608546978,0.009287321931369188,0.05692440415410059,-0.0065423174357151425
9,0.022367192686168397,0.002367192686168397,0.02,0.055066748282516356
10,0.05143601678445826,0.0016818688719524933,0.04975414791250577,0.11733526198450285
11,0.06044775870429683,-0.019426512981808412,0.07987427168610525,-0.009134577444780403
12,0.05703596832614258,0.021451648730099287,0.035584319596043294,0.3525427253414988
13,0.06852541781329198,0.022477474208529618,0.04604794360476236,0.0019192210046189448
14,0.004478838311406979,-0.015521161688593023,0.02,0.08845131791268014
15,0.5985833376184336,0.009828962313898152,0.5887543753045354,0.34654338941151813
16,0.07923146700752794,0.018874222500068677,0.06035724450745926,0.7745147085410138
17,0.6027742071774256,0.009912005730888334,0.5928622014465372,0.8452280039163812
18,0.0711442782129219,0.022361704184249473,0.04878257402867242,0.0009736701078567887
19,0.49550738658001026,-0.3119926134199898,0.8075,-0.026576929968469165
20,0.5846446472260171,0.00999850547061018,0.5746461417554068,0.4388661041909517
21,0.07931134301273426,0.01979040958981988,0.05952093342291438,0.43729574787088415
22,0.0536041279766246,0.01753671325671981,0.03606741471990479,0.6733320097220521
23,0.06542236542610881,0.018165559284801513,0.0472568061413073,0.5379730018202071
24,0.8074149444984371,0.01991494449843702,0.7875000000000001,0.06609196366496776
25,0.042497834787360744,0.018939738851169074,0.023558095936191667,0.00040637286767787606
26,-0.8599801974007164,-0.8873783011465629,0.027398103745846503,-0.16803002971288872
27,-0.12905854487692556,-0.1664591992863933,0.03740065440946775,0.6450382718074055
28,0.08898073781473526,0.02214601707768646,0.0668347207370488,0.4404913625900013
29,0.06007035894530996,7.035894530996395e-05,0.06,0.20769193203278724
30,-0.4435106963750089,-0.48584497167451296,0.042334275299504065,-0.3513496462401502
31,0.003619879385322336,-0.060992329424969516,0.06461220881029185,-0.08215160332356194
32,0.5753207249579774,0.009999996604269715,0.5653207283537076,8.218700005767908e-06
33,0.5460322215963479,0.4899989610324154,0.056033260563932485,0.016708886254510075
34,0.7223609619229702,0.009860961922970243,0.7124999999999999,0.0036032692958150635
35,0.5791342606402803,0.009997586479990926,0.5691366741602893,0.007261526081288236
36,0.058815214918310224,-0.028343326627111944,0.08715854154542217,0.7821847506816977
37,0.05673092203115089,0.059267248115595035,-0.0025363260844441446,0.0792811576513268
38,0.5158409757624784,0.009992078660795472,0.505848897101683,0.07828288522706249
39,0.06223699689672123,0.022236996896721234,0.039999999999999994,0.031266932648905094
