,revealed_score,activation_locked_pred,auditor_pred,private_proposal_ordinal,public_proposal_ordinal
revealed_score,1.0,-0.17839654713803654,0.6752146323605283,0.21144427339978153,0.7450318402857722
activation_locked_pred,-0.17839654713803654,1.0,-0.06971828374630518,0.22003914742593236,0.16769186724538626
auditor_pred,0.6752146323605283,-0.06971828374630519,0.9999999999999998,0.4293872609673361,0.6996491901160804
private_proposal_ordinal,0.21144427339978153,0.2200391474259324,0.4293872609673361,1.0,1.0
public_proposal_ordinal,0.7450318402857721,0.16769186724538626,0.6996491901160804,1.0,1.0
