order_event_sequence,pid,phase,power,actual_orders,pairing_mode,agent_probability,agent_rank,agent_support,agent_nll,agent_top_orders,agent_top_probability,agent_top1_match,agent_entropy,bp_probability,bp_rank,bp_support,bp_nll,bp_top_orders,bp_top_probability,bp_top1_match,population_probability,population_rank,population_support,agent_bp_total_variation,bp_minus_agent_nll
3561,206556,S1901M,AUSTRIA,A BUD - SER | A VIE - GAL | F TRI - ALB,get_orders_cached_state_after,1.0,1,True,-0.0,A BUD - SER | A VIE - GAL | F TRI - ALB,1.0,True,-0.0,0.9976458329240661,1,True,0.0023569424839497057,A BUD - SER | A VIE - GAL | F TRI - ALB,0.9976458329240661,True,1.0,1,True,0.0023541670759338125,0.0023569424839497057
3574,206556,S1901M,ENGLAND,A LVP - YOR | F EDI - NWG | F LON - NTH,get_orders_cached_state_after,1.0,1,True,-0.0,A LVP - YOR | F EDI - NWG | F LON - NTH,1.0,True,-0.0,0.5347562426373921,1,True,0.6259442571515449,A LVP - YOR | F EDI - NWG | F LON - NTH,0.5347562426373921,True,1.0,1,True,0.4652437573626078,0.6259442571515449
3587,206556,S1901M,FRANCE,A MAR - SPA | A PAR - PIC | F BRE - MAO,get_orders_cached_state_after,1.0,1,True,-0.0,A MAR - SPA | A PAR - PIC | F BRE - MAO,1.0,True,-0.0,0.5339319752624286,1,True,0.6274868352853843,A MAR - SPA | A PAR - PIC | F BRE - MAO,0.5339319752624286,True,1.0,1,True,0.4660680247375713,0.6274868352853843
