condition,contrast,mean,ci95_low,ci95_high,fraction_positive
compact_reason_t0,auditor_minus_activation,-0.03956250086045773,-0.1551746900906004,0.07385902963019751,0.2501
compact_reason_t0,trained_text_minus_activation,-0.03447363785533703,-0.13315680810975922,0.060890650740678544,0.2498
raw_deliberate_t1,auditor_minus_activation,-0.06715365528876377,-0.1428606860874381,-0.0056646146989817545,0.0131
raw_deliberate_t1,trained_text_minus_activation,0.10691830662176607,-0.006808949943630411,0.21722803002136784,0.9679
compact_deliberate_t1,auditor_minus_activation,-0.0734173099228203,-0.145524680102694,-0.012921294798881648,0.0065
compact_deliberate_t1,trained_text_minus_activation,0.09847774178052103,-0.016154229676188177,0.21189513405878602,0.9567
