game_id,game_index,seed,fold,initial_quest_leader,role_names_analysis_only,phase_steps,winner,good_victory,quest_results,target_ids,target_count
avalon_full_000,0,914207,0,0,"['Servant', 'Merlin', 'Assassin', 'Minion', 'Servant']",15,EVIL,False,"[False, True, False, True, False]","['avalon_full_000_m0_r0_p2', 'avalon_full_000_m1_r0_p3', 'avalon_full_000_m2_r0_p3', 'avalon_full_000_m3_r0_p3', 'avalon_full_000_m4_r0_p2', 'avalon_full_000_m4_r0_p3']",6
avalon_full_001,1,914208,1,1,"['Servant', 'Minion', 'Merlin', 'Assassin', 'Servant']",15,EVIL,False,"[False, True, True, False, False]","['avalon_full_001_m0_r0_p3', 'avalon_full_001_m3_r0_p3', 'avalon_full_001_m4_r0_p1', 'avalon_full_001_m4_r0_p3']",4
avalon_full_002,2,914209,2,2,"['Assassin', 'Servant', 'Merlin', 'Minion', 'Servant']",37,GOOD,True,"[False, True, True, True]","['avalon_full_002_m0_r0_p3', 'avalon_full_002_m1_r0_p3', 'avalon_full_002_m2_r0_p3', 'avalon_full_002_m3_r0_p3']",4
avalon_full_003,3,914210,3,3,"['Merlin', 'Servant', 'Servant', 'Minion', 'Assassin']",32,GOOD,True,"[False, True, True, False, True]","['avalon_full_003_m0_r0_p4', 'avalon_full_003_m1_r0_p4', 'avalon_full_003_m3_r0_p3', 'avalon_full_003_m3_r0_p4', 'avalon_full_003_m4_r0_p3', 'avalon_full_003_m4_r0_p4']",6
avalon_full_004,4,914211,4,4,"['Servant', 'Minion', 'Servant', 'Assassin', 'Merlin']",14,EVIL,False,"[True, False, False, False]","['avalon_full_004_m1_r0_p3', 'avalon_full_004_m2_r0_p3', 'avalon_full_004_m3_r0_p1', 'avalon_full_004_m3_r0_p3']",4
avalon_full_005,5,914212,0,0,"['Assassin', 'Minion', 'Servant', 'Servant', 'Merlin']",16,GOOD,True,"[True, False, True, False, True]","['avalon_full_005_m0_r0_p0', 'avalon_full_005_m1_r0_p1', 'avalon_full_005_m2_r0_p0', 'avalon_full_005_m3_r0_p1', 'avalon_full_005_m4_r0_p0']",5
avalon_full_006,6,914213,1,1,"['Minion', 'Servant', 'Servant', 'Merlin', 'Assassin']",12,EVIL,False,"[True, False, False, False]","['avalon_full_006_m1_r0_p0', 'avalon_full_006_m2_r0_p4', 'avalon_full_006_m3_r0_p4']",3
avalon_full_007,7,914214,2,2,"['Merlin', 'Assassin', 'Minion', 'Servant', 'Servant']",11,EVIL,False,"[False, False, False]","['avalon_full_007_m0_r0_p1', 'avalon_full_007_m1_r0_p2', 'avalon_full_007_m2_r0_p2']",3
